lat	lon	title	description	iconSize	iconOffset	icon
4447740.1496485	1659095.6161381	Poetry Hacklab	<a href="http://museo.freaknet.org/poetry-hacklab/">http://museo.freaknet.org/poetry-hacklab/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4581663.714707	1392692.5456379	Franchenstìn HackLab	<a href="http://www.frhacklab.org/">http://www.frhacklab.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4534689.9875003	1423958.8510127	S.L.U.R.P.	<a href="http://www.slurpfoundation.it">http://www.slurpfoundation.it</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5418602.0571605	1315077.2570829	IPIOS	<a href="http://www.ipios.org/">http://www.ipios.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5418602.0571605	1318077.2570829	Viva Linux Casentino	<a href="http://www.facebook.com/group.php?gid=52271316371">http://www.facebook.com/group.php?gid=52271316371</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5421834.3904213	1217993.3027858	GOLEM	<a href="http://golem.linux.it/">http://golem.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5429404.5435084	1252344.27125	Flug	<a href="http://www.firenze.linux.it/">http://www.firenze.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5429404.5435084	1255344.27125	Hacklab Firenze	<a href="http://www.autistici.org/hacklab_fi/">http://www.autistici.org/hacklab_fi/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5429404.5435084	1258344.27125	Libera Informatica	<a href="http://www.liberainformatica.it/">http://www.liberainformatica.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5429404.5435084	1261344.27125	LiLik	<a href="http://www.lilik.it/">http://www.lilik.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5277244.1052715	1236530.2243901	GroLug	<a href="http://www.grolug.org/">http://www.grolug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5277244.1052715	1239530.2243901	GuruAtWork	<a href="http://www.guruatwork.com/">http://www.guruatwork.com/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5394935.3269292	1148371.8668636	Gulli	<a href="http://www.gullix.org/">http://www.gullix.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5441266.1064071	1169505.8721877	Lucca Lug	<a href="http://luccalug.it/">http://luccalug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5475187.4643808	1119950.8876731	ACROS	<a href="http://lug-acros.org/">http://lug-acros.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5421524.8135462	1157343.1046253	Gulp	<a href="http://www.gulp.linux.it/">http://www.gulp.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5416566.8376826	1166998.9572554	T-OSSLab	<a href="http://www.tosslab.it/">http://www.tosslab.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
